05-06	0	-883	-2187.322211099989	-1877.382661349874	-2045.1033745610016	-1725.286846846847	-1598	0.8734177215189873	0.8153153153153153	0.69	0.9180327868852459
05-12	0	487	587.0	637.2857142857142	574.4285714285716	587.0	675	0.9375	0.9459459459459459	1.0	0.7142857142857143
05-13	0	-1931	-3029.4306220095696	-2905.268277177369	-3021.4793388429753	-2800.137805112435	-2749	0.8333333333333334	0.8264462809917356	0.6395348837209303	0.9294871794871795
05-07	0	12	-127.55555555555566	-69.21413721413717	-111.09677419354834	-62.46153846153835	0	0.8974358974358975	0.8717948717948718	0.8536585365853658	0.8918918918918919
05-11	0	1592	-337.2000000000007	1718.8555555555558	1523.8240000000005	1565.546883468834	1777	0.9629629629629629	0.9222222222222223	0.9512195121951219	0.625
05-05	0	651	831.208	651.28	808.3600000000004	727.7199999999999	551	0.8888888888888888	0.88	0.9411764705882353	0.75
05-04	0	926	832.1568627450977	889.8745098039218	871.1122994652407	880.8324084350721	902	0.9230769230769231	0.8676470588235294	0.9056603773584906	0.7333333333333333
05-10	0	327	364.1249999999999	278.625	308.265	287.8455882352942	264	0.8787878787878788	0.8125	0.8529411764705882	0.7142857142857143
05-14	0	-280	-394.8863636363633	-106.89746300211402	-405.89393939393915	-127.03535353535369	100	0.8260869565217391	0.8295454545454546	0.8444444444444444	0.813953488372093
05-28	0	548	542.431818181818	550.9166666666667	546.1439393939395	549.4244186046512	554	0.8837209302325582	0.84375	0.8837209302325582	0.7619047619047619
05-29	0	254	-66.91228070175407	92.98627002288328	73.51461988304095	97.86196623634578	115	0.9090909090909091	0.7763157894736842	0.7547169811320755	0.8260869565217391
05-01	0	1516	2155.1647999999996	1972.1404444444443	2189.5246027397266	2109.3152359550554	1930	0.8613861386138614	0.872	0.9775280898876404	0.6111111111111112
05-15	0	211	245.2916666666672	-1.8518518518519045	166.16666666666617	-48.74074074074081	-150	0.8333333333333334	0.7962962962962963	0.7407407407407407	0.8518518518518519
05-03	0	653	948.0538461538463	840.1923076923076	929.0437665782484	893.8076923076924	840	0.8372093023255814	0.8269230769230769	0.9473684210526315	0.5
05-17	0	588	862.59649122807	708.2105263157896	844.2631578947365	771.8947368421049	679	0.8333333333333334	0.8245614035087719	0.9210526315789473	0.631578947368421
05-16	0	372	314.6280542986424	114.21758241758243	191.41065088757435	76.38087318087291	-22	0.90625	0.8307692307692308	0.7837837837837838	0.8928571428571429
05-02	0	861	1202.828571428571	1125.5561904761905	1179.1200000000003	1155.2162962962968	1123	0.8333333333333334	0.8133333333333334	0.9259259259259259	0.5238095238095238
04-25	0	312	511.951367781155	281.8423028785983	444.38297872340434	336.51063829787245	245	0.8125	0.7872340425531915	0.8666666666666667	0.6470588235294118
04-19	0	1042	928.305084745763	1110.2169491525422	1035.4406779661015	1048.3163841807911	1212	0.9814814814814815	0.9661016949152542	0.9814814814814815	0.8
04-18	0	1649	nan	1962.0769230769229	2006.3846153846152	1997.1538461538462	1975	0.8823529411764706	0.8571428571428571	0.9615384615384616	0.23076923076923078
04-24	0	374	-937.4146341463402	383.83972125435537	273.7351916376307	332.0258249641318	449	0.9375	0.8536585365853658	0.8823529411764706	0.7142857142857143
04-30	0	1954	3380.7281987961105	2998.4755037401446	3442.128307782442	3227.6649330836976	2978	0.7987804878048781	0.8086124401913876	0.9492753623188406	0.5352112676056338
04-26	0	299	381.92307692307696	398.16239316239313	384.02769230769235	388.548717948718	399	0.8787878787878788	0.8717948717948718	0.9666666666666667	0.5555555555555556
04-27	0	455	494.18918918918916	523.8108108108108	489.411508282476	494.18918918918916	568	0.9696969696969697	0.972972972972973	1.0	0.8
04-23	0	830	733.62962962963	1161.9220272904483	912.5301379811178	1012.040621266427	1226	0.8923076923076924	0.8641975308641975	0.9354838709677419	0.631578947368421
04-22	0	1711	1324.964761495487	1437.4523070556593	1395.8565340091006	1428.5713966480446	1476	0.907563025210084	0.8435754189944135	0.864	0.7962962962962963
04-08	0	373	1740.9999999999998	237.0	237.00000000000003	278.7777777777776	424	1.0	0.8974358974358975	0.8888888888888888	1.0
04-20	0	834	nan	970.8510638297871	819.9639934533551	846.7303315190501	970	0.9534883720930233	0.9148936170212766	0.9534883720930233	0.5
04-21	0	2233	nan	2045.2950819672133	2278.7816873250704	2196.1951141112186	2045	0.9019607843137255	0.8360655737704918	0.9019607843137255	0.5
04-09	0	588	708.0000000000005	510.1333333333332	548.9999999999997	527.4580645161292	496	0.9	0.825	0.8709677419354839	0.6666666666666666
04-10	0	923	1219.1132075471696	1113.2767295597487	1188.465578786334	1171.6929674099488	1128	0.8775510204081632	0.8679245283018868	0.9772727272727273	0.3333333333333333
04-04	0	964	1087.6284153005465	1041.2896174863388	1070.924895158216	1061.6219471395111	1029	0.9215686274509803	0.9016393442622951	0.9591836734693877	0.6666666666666666
04-05	0	638	584.3999999999999	769.8000000000001	674.5250000000002	693.2857142857143	790	0.9444444444444444	0.925	0.9714285714285714	0.6
04-11	0	497	676.7272727272726	385.89090909090913	451.67532467532465	405.85026737967917	313	0.9375	0.8636363636363636	0.8823529411764706	0.8
04-07	0	424	586.0	586.0	553.2000000000003	559.5483870967741	572	0.8571428571428571	0.8333333333333334	0.967741935483871	0.0
04-13	0	784	934.7826086956521	881.2173913043479	948.9616368286441	934.782608695652	854	0.925	0.9347826086956522	1.0	0.6666666666666666
04-12	0	1573	1822.550561797753	2133.449438202247	1789.8243642814907	1822.550561797753	2071	0.9418604651162791	0.9438202247191011	1.0	0.375
