04-01,2513.033073651006
04-02,2233.4795022224343
04-03,1992.2103695693734
04-04,860.2830736510061
04-05,637.8187879367204
04-06,550.0330736510061
04-07,-34.136569206136755
04-08,105.53307365100602
04-09,161.4795022224347
04-10,916.7103695693734
04-11,53.283073651006134
04-12,2069.8187879367206
04-13,405.03307365100613
04-14,1223.3634307938632
04-15,2564.033073651006
04-16,1628.4795022224346
04-17,1171.2103695693734
04-18,1934.7830736510061
04-19,1238.3187879367204
04-20,478.53307365100613
04-21,2998.8634307938637
04-22,2669.533073651006
04-23,677.9795022224348
04-24,3.7103695693734835
04-25,-163.21692634899387
04-26,43.818787936720355
04-27,-118.96692634899387
04-28,-267.63656920613676
04-29,1948.0330736510061
04-30,2361.4795022224343
05-01,2084.210369569373
05-02,649.2830736510061
05-03,555.8187879367204
05-04,709.5330736510061
05-05,376.36343079386324
05-06,-651.4669263489941
05-07,-402.5204977775653
05-08,45.21036956937348
05-09,-100.21692634899387
05-10,103.31878793672035
05-11,1731.5330736510061
05-12,159.36343079386324
05-13,-1850.4669263489936
05-14,-746.5204977775653
05-15,-59.78963043062652
05-16,60.783073651006134
05-17,551.8187879367204
05-18,1528.5330736510061
05-19,498.363430793863
05-20,-253.46692634899387
05-21,397.4795022224348
05-22,198.21036956937348
05-23,2246.283073651006
05-24,-35.681212063279645
05-25,-406.96692634899387
05-26,-379.63656920613676
05-27,-120.46692634899398
05-28,218.97950222243458
05-29,-124.28963043062657
05-30,-285.2169263489939
05-31,-163.1812120632796
