04-01	2050.03132012528
04-02	1998.0325081300325
04-03	1087.0333721334885
04-04	889.5888783555133
04-05	612.8686834747339
04-06	821.3003252013007
04-07	337.00680402721605
04-08	310.00702002808003
04-09	480.29632918531667
04-10	837.5870423481692
04-11	404.0078840315361
04-12	1394.1689006756026
04-13	693.441901767607
04-14	996.3058332233329
04-15	1366.749246996988
04-16	1058.0254881019523
04-17	903.875055500222
04-18	1524.455941823767
04-19	972.3032412129647
04-20	715.8707354829418
04-21	2185.7519470077877
04-22	1189.0408241632963
04-23	402.16036864147446
04-24	134.5781863127452
04-25	130.00583202332805
04-26	177.43401773607093
04-27	288.7215988863955
04-28	120.29060516242062
04-29	-660.6670586682352
04-30	483.1840207360828
05-01	1014.7441709766838
05-02	426.44514178056704
05-03	290.15421261685043
05-04	636.1597206388825
05-05	420.72635090540354
05-06	-1743.4011856047425
05-07	-479.4179256717027
05-08	39.294817179268655
05-09	153.7219228876915
05-10	184.43498973995895
05-11	1213.1676046704185
05-12	343.7234348937395
05-13	-3241.694058776235
05-14	-919.8478393913578
05-15	-174.27721310885252
05-16	83.29665318661272
05-17	241.86922347689384
05-18	1315.1681446725786
05-19	369.87030348121385
05-20	-2016.1230004920023
05-21	-1115.8330433321737
05-22	-207.70410281641128
05-23	1462.0321841287364
05-24	-29.566630266521113
05-25	10.719006876027457
05-26	26.861663446653733
05-27	-68.85064740258962
05-28	288.87084348337385
05-29	52.29136116544463
05-30	94.4335857343429
05-31	39.71760287041146
