04-01	0	1664	2074.767218831735	2234.6000000000004	0.9021739130434783	0.9032258064516129	1.0	0.1
04-02	0	1649	2098.0666666666675	2294.4485049833884	0.875	0.86	0.9767441860465116	0.14285714285714285
04-03	0	744	899.2608787050673	1365.527435610303	0.8252427184466019	0.8028169014084507	0.8947368421052632	0.6170212765957447
04-04	0	742	1951.049180327869	1202.8333333333333	0.7254901960784313	0.7704918032786885	1.0	0.4166666666666667
04-05	0	536	779.2999999999998	788.1720430107528	0.8333333333333334	0.825	0.967741935483871	0.3333333333333333
04-06	0	746	902.9722222222223	1082.8571428571427	0.8913043478260869	0.875	0.9761904761904762	0.16666666666666666
04-07	0	336	468.855072463768	574.6	0.8285714285714286	0.8055555555555556	0.9666666666666667	0.0
04-08	0	341	358.33333333333314	404.8387096774193	0.875	0.8205128205128205	0.9032258064516129	0.5
04-09	0	398	684.2499999999997	534.6153846153845	0.7666666666666667	0.75	0.8846153846153846	0.5
04-10	0	717	1291.9350104821806	1145.3956043956043	0.7755102040816326	0.7735849056603774	0.9743589743589743	0.21428571428571427
04-11	0	383	460.28925619834706	362.3697270471464	0.84375	0.7954545454545454	0.8709677419354839	0.6153846153846154
04-12	0	1317	1738.7773237997956	2012.3846153846152	0.8837209302325582	0.8876404494382022	1.0	0.23076923076923078
04-13	0	640	903.5942028985504	874.5454545454545	0.875	0.8913043478260869	1.0	0.5454545454545454
04-14	0	990	1809.102564102563	1661.6666666666667	0.782608695652174	0.7916666666666666	1.0	0.16666666666666666
04-15	0	1343	2665.524137931034	2205.926216640502	0.7589285714285714	0.7642857142857142	0.9340659340659341	0.4489795918367347
04-16	0	1086	1284.4561403508771	1653.0652680652681	0.8352941176470589	0.79	0.9102564102564102	0.36363636363636365
04-17	0	832	1299.099662162162	1250.4583333333333	0.8245614035087719	0.828125	0.9791666666666666	0.375
04-18	0	1445	1863.5245901639346	1962.1578947368419	0.8588235294117647	0.8351648351648352	0.9605263157894737	0.2
04-19	0	848	1016.9963154016208	1120.0	0.9259259259259259	0.9322033898305084	1.0	0.5555555555555556
04-20	0	682	750.8809660724555	880.8292682926827	0.9302325581395349	0.9148936170212766	0.975609756097561	0.5
04-21	0	1943	2729.422684980061	2313.4500000000003	0.8627450980392157	0.8688524590163934	0.9777777777777777	0.5625
04-22	0	1059	1951.157368793767	1640.7606177606176	0.7983193277310925	0.8100558659217877	0.9047619047619048	0.6756756756756757
04-23	0	396	927.0617283950609	1127.5862068965519	0.8	0.8395061728395061	1.0	0.5517241379310345
04-24	0	164	347.56097560975616	429.95897435897444	0.75	0.7560975609756098	0.9230769230769231	0.4666666666666667
04-25	0	158	449.18676122931447	323.45454545454555	0.78125	0.851063829787234	1.0	0.6818181818181818
04-26	0	191	270.18394648829417	357.5172413793104	0.8484848484848485	0.8461538461538461	0.9655172413793104	0.5
04-27	0	327	369.1861861861862	492.0645161290323	0.9090909090909091	0.8918918918918919	0.967741935483871	0.5
04-28	0	125	47.503472222222406	174.23956043956045	0.8529411764705882	0.7708333333333334	0.8285714285714286	0.6153846153846154
04-29	0	-388	2445.0000000000014	2537.127858075119	0.6666666666666666	0.75	0.948905109489051	0.5695364238410596
04-30	0	696	4587.205741626795	3163.7240366972487	0.6463414634146342	0.7081339712918661	0.9724770642201835	0.42
05-01	0	972	2196.1262545454547	2001.0253164556964	0.7722772277227723	0.808	0.9873417721518988	0.5
05-02	0	381	761.1999999999994	1046.3846153846157	0.7666666666666667	0.7733333333333333	0.9387755102040817	0.46153846153846156
05-03	0	339	825.9377289377293	837.4720893141946	0.7441860465116279	0.7692307692307693	0.9696969696969697	0.42105263157894735
05-04	0	638	881.4256055363326	895.5379939209724	0.8269230769230769	0.8088235294117647	0.9148936170212766	0.5714285714285714
05-05	0	405	496.0240000000001	515.2352941176471	0.9166666666666666	0.92	0.9705882352941176	0.8125
05-06	0	-1871	-2316.0160404306757	-1824.199369582349	0.759493670886076	0.8198198198198198	0.7407407407407407	0.8652482269503546
05-07	0	-416	196.23529411764713	63.38634764250555	0.717948717948718	0.8461538461538461	0.9655172413793104	0.7755102040816326
05-08	0	13	88.22448979591812	205.66666666666663	0.8	0.8163265306122449	0.8888888888888888	0.7272727272727273
05-09	0	175	182.94037940379414	271.72727272727275	0.9354838709677419	0.926829268292683	0.9666666666666667	0.8181818181818182
05-10	0	207	405.01785714285677	323.8285714285715	0.8181818181818182	0.8541666666666666	0.9642857142857143	0.7
05-11	0	1198	1598.0721311475406	1719.3888888888887	0.8765432098765432	0.8777777777777778	0.9861111111111112	0.4444444444444444
05-12	0	343	555.7272727272726	634.0	0.84375	0.8648648648648649	1.0	0.5
05-13	0	-3085	-4594.545454545459	-2896.306818181817	0.5909090909090909	0.7768595041322314	0.5909090909090909	0.8465909090909091
05-14	0	-766	-549.55681818182	39.67741935483882	0.5869565217391305	0.7386363636363636	0.8709677419354839	0.6666666666666666
05-15	0	-137	76.77777777777743	-78.71590909090911	0.75	0.8148148148148148	0.8181818181818182	0.8125
05-16	0	120	441.2895104895104	242.06756756756752	0.84375	0.9076923076923077	0.9642857142857143	0.8648648648648649
05-17	0	292	418.86315789473696	561.7894736842102	0.8571428571428571	0.8596491228070176	0.9473684210526315	0.6842105263157895
05-18	0	1171	1363.0389610389614	1745.2830769230768	0.8888888888888888	0.8636363636363636	0.96	0.3076923076923077
05-19	0	420	1547.6097560975604	637.0876565295171	0.7058823529411765	0.7804878048780488	0.9230769230769231	0.6511627906976745
